PRES,TEMP,THCK,SWAT,POROM,POROF,PERMM,PERMF,FRACS,VLCH4,PLCH4,VLCO2,PLCO2,QINJ,QPROD,TPROD,PWFPROD,PFRAC,LX,LY,LWELL,LFRAC,SRVPORO,SRVPERM,SRVSPAC,T1,TINJ,Gi
7543.8,196.3,138.1,6.5,9.08,1.79,3.11E-05,0.000767,2.62,190,401.1,406.3,955.2,145.8,4635.75,10110.3,2657.21,9723.3,5975.1,539.37,4273,361,2.28,0.002,1.575,18.79,1.10E+04,1616396
7181.2,130.9,229.2,13.8,8.28,0.92,9.80E-05,0.00065,2.78,230.7,509.6,685,499,195,6310.44,11635.7,3023.18,9753.8,5908.3,1057.79,4214.7,761.5,1.26,0.0036,2.176,14.05,1.30E+04,2469831
5172.3,181.4,246.5,5.4,6.95,1.77,1.84E-05,0.000578,1.02,243.2,636.3,1255,580.9,136.3,2669.36,11222.1,2177.85,7250.1,6048.8,1754.59,3831.2,901.8,2.14,0.0025,0.535,20.09,1.40E+04,1935649
7184,189,248.9,9.7,8.52,1.38,3.37E-05,0.000174,1.01,59.8,751.6,274.2,748.2,118.5,4636.98,12270.4,1265.41,10485.6,7047.3,1123.57,4477.1,659.4,1.76,0.0018,0.605,23.12,1.50E+04,1819263
3974.9,154.1,281,9.6,6.48,0.66,1.47E-06,0.000759,1.19,197.7,545.7,479.4,786.6,73.9,4280.46,7953.5,1939.6,4662.9,5469.2,1308.9,4093.3,786.2,0.93,0.0057,0.68,37.1,1.50E+04,1129638
3799.2,137.2,126.6,11.6,7.18,1.33,4.92E-05,0.000664,2.17,208,273.4,950.4,718.4,151.7,2463.07,16990.4,1477.7,4906.3,5587.5,1273.5,4435.3,800.7,1.93,0.0023,1.213,18.06,1.70E+04,2652038
4410.7,144.4,175,9,7.19,1.88,6.20E-05,0.000663,2.18,57.6,458,242.5,869.9,215.6,3816.39,15263.5,803.93,5191.5,4504.3,1117.72,2950.5,850,2.78,0.0035,0.964,12.71,1.60E+04,3393887
3720.6,156.6,151.7,6.7,6.34,1.92,6.42E-05,0.000645,1.8,132.4,643.2,730.5,282.5,275.2,6721.83,11879.2,1050.99,4410.5,6513.2,1063.84,4230.2,560.2,2.47,0.006,1.111,9.95,1.30E+04,3504935
3278.6,121.8,218,7.5,6.77,1.53,2.79E-05,0.000894,2.53,134.8,268.4,696.4,936,136.1,9996.86,15589.2,72.84,3695.6,5101.8,367.09,4163.9,274.5,1.86,0.0078,1.09,20.13,1.90E+04,2595641
3774.3,146.5,274.6,13.5,8.04,1.46,2.85E-05,0.000257,2.49,157.8,958.5,870.4,805.5,109.5,670.816,15511.1,197.73,5410.4,4365,820.18,3572.9,517.4,2.03,0.0006,1.291,25.02,1.60E+04,1747252
4719.8,193.1,193.4,5.8,6.52,0.74,8.32E-05,0.000807,2.89,127.7,569.4,275.3,824,205.4,5948.77,10743.1,665.05,5291.3,3868.1,1198.36,2683.7,753,1.02,0.0058,1.677,13.34,1.20E+04,2390580
6731.2,142.8,108.8,10.1,9.45,1.49,5.75E-05,0.000105,1.95,207.9,267.3,941.6,382.8,98.2,822.748,12457.9,820.19,7796.3,5950.3,1352.67,4024.9,793,1.93,0.0003,1.277,27.9,1.30E+04,1270185
5022.9,150.3,139.4,7.6,7.55,0.61,4.15E-05,0.000817,1.52,62.8,954.4,254.2,302,182.6,7859.43,15315.9,2241.44,6685.5,4957.4,500.4,3770.9,332.5,0.83,0.0067,0.993,15.01,1.60E+04,2869225
7063.8,180.9,177.7,12.2,9.07,1.57,3.14E-05,0.000768,2.85,158.8,279.6,528.7,204,99.3,4772.6,16212,2389.53,10417.1,6809.5,1071.32,4281.4,806.1,1.9,0.0023,1.998,27.59,1.80E+04,1826325
5737.3,148.4,175.9,7.9,9.78,1.17,4.48E-05,0.000235,2.26,111,336.4,324.9,684.3,355.2,3688.02,7988.4,488.39,6445.4,5632.5,1483.3,3766,968.2,1.62,0.0018,1.694,7.71,8.50E+03,3013009
7063.2,172,123.2,10.3,9.56,0.97,3.65E-05,0.000666,2.52,203.1,908.4,1012.9,317.5,144,9153.65,7682.2,1801.46,8292.5,4086.4,893.73,2844.3,708.5,1.34,0.0056,1.209,19.03,1.00E+04,1434128
3492.4,164.6,171.7,11.8,8.67,1.13,4.18E-05,0.000787,1.66,238.5,993,554.6,742.6,156,6786.85,15596.5,1342.49,4381.4,4865.9,879.55,3710.6,609.4,1.48,0.0091,0.834,17.56,1.70E+04,2685532
5768.1,148.6,237.5,5.3,9.49,1.82,8.04E-05,0.000526,1.97,160.2,790.2,848.1,483.1,176.1,5124.83,7540.8,493.64,6945.3,5660.9,898.33,4172.2,652.7,2.36,0.0023,1.269,15.56,1.00E+04,1768178
7671.7,198.9,231,5.1,8.31,0.52,6.37E-05,0.000188,2.44,222.1,316.7,1170.6,877.9,156.3,3507.81,10756.4,2234.46,9593.7,6453.2,1337.04,4218.6,993.2,0.72,0.0016,1.108,17.53,1.30E+04,1971983
3520.8,197.3,174,5.8,5.47,1.19,8.10E-05,0.000962,1.32,126.3,763,407.5,565.4,201.7,5733.78,11455,1605.7,4104.1,5994.7,664.67,3961.4,530.1,1.49,0.0086,0.789,13.58,1.30E+04,2583506
7541.2,141.5,135.3,13.6,8.63,0.69,8.61E-05,0.000218,2.76,246.3,253.4,1376.7,797.8,50,3750.01,8816,549.03,9539.2,6978.9,1240.17,4819,890,0.86,0.001,1.606,54.81,1.40E+04,704959
6908.3,161,233.3,12.1,6.59,1.75,5.31E-05,0.000743,2.61,131.8,483.2,511.1,285.5,147.6,7294.6,12930.4,3283.07,8334.8,4266.1,1666.86,3421.9,976.8,2.2,0.006,1.261,18.56,1.50E+04,2167466
5713.2,129.1,264.1,12.7,6.24,1.61,4.74E-05,0.000441,1.46,56.6,400.1,203.7,461.7,27.4,3312.83,14093,1899.43,7327.5,5094.7,1008.56,3334.6,757.1,2.33,0.0026,1.063,99.96,2.30E+04,633184
5052.1,132.7,248.4,6.2,9.87,1.16,6.59E-05,0.000915,2.78,188.5,546.7,543,532.7,108.9,12194.9,9399.6,747.31,5658.6,5209.6,1416.36,3774.4,739.8,1.66,0.0075,1.801,25.17,1.50E+04,1598006
6288.5,192.7,241.7,6.8,6.21,1.5,2.64E-05,0.000417,1.52,75.7,282.6,418.5,741.1,39,5390.77,8050,1768.67,8778.1,6246.9,749.94,4252.2,411.9,1.85,0.0029,1.09,70.18,2.20E+04,843983
3556.1,143.8,212.7,7.7,5.78,1.71,7.28E-06,0.000644,1.02,89.8,592.5,464.6,702.5,396.7,5092.59,8831.9,1192.14,4774.8,4346.4,1412.17,3076.5,805.6,2.56,0.0075,0.575,6.91,9.50E+03,3773637
3287.7,186.2,269.6,10.2,8.48,0.9,1.17E-05,0.000389,2.95,217,759.8,740.6,944.3,176.7,3136.19,17811.2,552.42,4409,5638.3,476.5,3845.2,251.6,1.13,0.0037,2.143,15.5,1.90E+04,3420016
7104.6,179.9,234.4,11.2,9.87,1.81,6.76E-05,0.000264,2.09,184.9,960.1,374.3,358.1,134.3,2178.6,15452.4,1272.63,9767.5,6584.7,406.39,4372.4,209.3,2.63,0.0009,1.19,20.39,1.60E+04,2157366
6826.1,182,216.2,11.3,6.65,1.24,4.51E-05,0.000427,2.66,60,890.6,305.9,557,247.2,6678.76,8744.7,2802.75,8917.5,4855.6,1841.53,3524.6,980.2,1.67,0.0048,1.521,11.08,1.00E+04,2476798
